food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Calcium
pork feet pickled,635,45.5,13.4,25.8,3.6,0.029,0.0,52.8,0.0,376.5,4.3,145.2
pork shoulder cooked,394,28.9,10.6,12.8,2.8,0.0,0.0,31.4,0.0,121.5,0.001,32.4
pork top loin roasts roasted,1628,74.8,24.1,29.8,8.5,0.0,0.0,224.3,0.0,678.4,0.4,0.0
pork skin,154,8.9,3.2,4.2,1.0,0.0,0.0,17.3,0.0,26.9,0.5,8.5
pork country style ribs cooked,235,15.2,5.4,6.6,1.8,0.0,0.0,22.8,0.0,88.6,0.049,29.2
pork blade steak raw,664,43.7,15.4,18.4,5.6,0.6,0.0,67.6,0.0,243.7,0.6,59.0
pork tenderloin cooked,153,6.2,2.2,2.5,0.6,0.0,0.0,22.7,0.0,71.4,0.091,3.8
pork loin cooked,213,12.1,4.5,5.4,1.0,0.0,0.0,24.2,0.0,71.2,0.077,18.7
pork ears cooked,184,12.0,4.3,5.5,1.3,0.2,0.0,17.7,0.0,99.9,0.2,20.0
pork tongue cooked,626,43.0,14.9,20.2,4.5,0.0,0.0,55.7,0.0,337.3,0.3,43.9
pork spareribs raw,3593,303.5,97.7,110.8,51.3,0.0,0.0,200.6,0.0,1037.6,1.1,194.6
ham patties grilled,205,18.5,6.7,8.8,2.0,1.0,0.0,8.0,0.0,43.2,0.6,5.4
chicken skin roasted,508,45.6,12.8,19.1,9.6,0.0,0.0,22.8,0.0,93.0,0.028,15.7
turkey breast raw,3554,158.9,43.2,60.2,37.6,0.0,0.0,495.6,0.0,1471.6,1.3,294.3
ground turkey raw,169,8.7,2.3,3.0,2.5,0.0,0.0,22.4,0.0,78.7,0.047,21.7
chicken wing cooked,52,3.5,1.0,1.4,0.8,0.0,0.0,4.8,0.0,14.7,0.086,2.5
turkey roast roasted,209,7.8,2.6,1.6,2.2,4.1,0.0,28.8,0.0,71.6,0.9,6.8
pheasant meat raw,1448,74.3,21.6,34.6,9.4,0.0,0.0,181.6,0.0,568.0,0.3,96.0
chicken back raw,188,17.0,4.9,7.2,3.6,0.0,0.0,8.3,0.0,46.6,0.043,7.7
chicken back cooked,93,6.5,1.8,2.6,1.4,0.0,0.0,8.0,0.0,28.1,0.091,6.5
chicken leg fried,431,25.5,6.8,10.4,6.1,13.8,0.0,34.4,0.5,142.2,0.4,28.4
chicken feet cooked,975,66.2,17.8,24.9,13.5,0.9,0.0,88.0,0.0,381.0,0.3,399.2
turkey steak fried,179,10.8,2.8,4.4,2.8,10.9,0.0,9.1,0.0,41.0,0.5,9.0
turkey taco meat cooked,271,13.9,3.2,4.7,3.9,5.5,0.0,30.7,0.0,129.9,1.2,126.3
chicken leg raw,736,54.9,15.0,22.8,11.5,0.6,0.0,56.3,0.0,319.9,0.3,31.0
chicken meat raw,1978,138.6,39.7,57.4,29.7,0.0,0.0,171.1,0.0,690.0,0.6,101.2
chicken neck cooked,94,6.9,1.9,2.7,1.5,0.0,0.0,7.5,0.0,26.6,0.085,10.3
chicken drumstick fried,193,11.3,3.0,4.6,2.7,6.0,0.0,15.8,0.2,61.9,0.2,12.2
quail egg,14,1.0,0.3,0.4,0.1,0.08,0.048,1.2,0.0,76.0,0.042,5.8
duck meat cooked,472,39.7,13.5,18.1,5.1,0.0,0.0,26.6,0.0,117.6,0.041,15.4
chicken wing roasted,216,14.3,4.2,6.6,3.1,0.0,0.0,20.2,0.0,119.9,0.039,0.024
quail meat cooked,1028,63.9,17.9,22.2,15.8,0.0,0.0,113.7,0.0,389.6,0.2,68.0
goose meat cooked,427,30.7,9.6,14.4,3.5,0.0,0.0,35.2,0.0,127.4,0.089,18.2
chicken breast cooked,114,4.5,1.3,1.8,1.0,0.0,0.0,17.3,0.0,48.7,0.058,8.1
chicken neck raw,149,13.1,3.6,5.3,2.8,0.0,0.0,7.0,0.0,49.5,0.027,9.0
duck egg,130,9.6,2.6,4.6,0.9,1.0,0.7,9.0,0.0,618.8,0.1,44.8
pheasant breast raw,484,11.8,4.0,3.8,2.0,0.0,0.0,88.7,0.0,211.1,0.1,10.9
duck meat raw,5123,498.8,167.6,237.0,64.4,0.0,0.0,145.7,0.0,963.7,0.8,139.5
squab meat raw,585,47.4,16.8,19.3,6.1,0.0,0.0,36.8,0.0,189.1,0.1,23.9
chicken drumstick raw,211,12.4,3.3,4.9,2.6,0.1,0.0,23.4,0.0,122.4,0.1,13.3
turkey meat roasted,284,11.1,3.2,4.0,3.2,0.031,0.0,42.8,0.0,163.5,0.2,21.0
chicken breast raw,299,16.1,4.6,6.6,3.4,0.0,0.0,36.3,0.0,111.4,0.1,19.1
ground chicken cooked,474,27.4,7.8,12.2,5.2,0.0,0.0,58.4,0.0,268.6,0.2,0.044
turkey wing cooked,426,23.1,6.3,8.7,5.5,0.0,0.0,50.9,0.0,150.7,0.1,44.6
goose meat raw,6077,550.7,160.2,291.1,61.6,0.0,0.0,259.8,0.0,1310.4,1.2,196.6
turkey breast roasted,3266,128.0,36.3,42.3,31.1,0.0,0.0,496.1,0.0,1278.7,1.1,362.9
chicken fajita strips,13,0.5,0.2,0.2,0.1,0.2,0.0,1.7,0.0,8.3,0.044,1.2
crispy chicken strips tyson,145,6.0,7.7,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate pudding fat free,105,0.3,0.0,0.0,0.0,23.6,17.8,2.2,0.3,1.1,0.1,44.1
tapioca pudding,143,4.3,1.1,2.8,0.088,23.9,16.4,2.1,0.0,1.1,0.2,78.1
tapioca pudding fat free,105,0.4,0.1,0.08,0.067,23.9,15.9,1.6,0.0,1.1,0.2,58.2
rice pudding,122,2.4,1.4,0.6,0.1,20.8,13.1,3.6,0.3,13.6,0.1,0.063
corn pudding,328,12.6,6.3,3.9,1.4,42.4,16.5,11.1,3.0,180.0,0.7,0.066
chocolate pudding,213,6.9,1.9,4.1,0.2,34.5,25.8,3.1,0.0,1.5,0.2,76.5
lemon pudding,173,4.4,2.6,1.3,0.2,30.2,0.0,4.1,0.0,16.5,0.4,148.5
vanilla pudding,195,5.7,1.5,3.4,0.1,33.9,25.5,2.2,0.0,1.5,0.3,73.5
profeel proteiinirahka valio,140,0.4,0.2,16.8,16.8,19.3,0.2,175.0,0.0,0.0,0.0,0.0
cottage cheese creamed,20,0.9,0.3,0.2,0.084,0.7,0.5,2.2,0.0,3.4,0.095,16.6
zaziki milfina,51,4.4,1.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cottage cheese low fat,163,2.3,1.5,0.7,0.041,6.1,6.1,28.0,0.0,9.0,0.9,137.9
cottage cheese nonfat,104,0.4,0.2,0.1,0.066,9.7,2.7,15.0,0.0,10.2,0.5,124.7
vanilla yogurt low fat,208,3.1,2.0,0.8,0.036,33.8,33.8,12.1,0.0,12.3,0.2,419.0
classique yogurt plain 2 liberte,30,1.2,0.7,0.7,0.0,1.7,1.7,3.3,0.0,0.017,0.0,0.0
yoplait light strawberry yogurt yoplait,79,0.0,14.1,8.8,4.4,0.074,0.0,0.0,0.0,0.0,0.0,0.0
vanilla yogurt,145,2.1,1.3,0.5,0.069,23.5,23.5,8.4,0.0,8.5,0.1,290.7
chocolate yogurt,168,0.0,0.0,0.0,0.0,35.3,22.5,5.3,1.8,1.5,0.2,132.0
yogurt parfait,125,1.5,0.8,0.5,0.2,23.6,17.4,5.0,1.6,4.5,0.048,156.5
yogurt,92,4.9,3.1,1.3,0.1,7.0,7.0,5.2,0.0,19.5,0.005,181.5
chocolate frozen yogurt,221,6.3,4.0,1.7,0.2,37.6,33.5,5.2,4.0,22.6,0.1,174.0
frozen yogurt,221,6.3,4.0,1.7,0.2,37.6,34.7,5.2,0.0,22.6,0.1,174.0
yogurt low fat,154,3.8,2.5,1.0,0.1,17.2,17.2,12.9,0.0,14.7,0.2,448.4
vanilla yoghurt oikos,120,1.8,24.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruit yogurt,149,1.7,1.1,0.5,0.024,28.0,28.0,6.0,0.0,7.5,0.013,207.0
danone low fat alsafi,88,1.7,1.0,11.1,7.1,0.089,255.0,0.0,0.0,0.0,0.0,0.0
fruit n yogurt parfait mcdonalds,156,1.9,0.044,0.2,0.1,30.9,19.1,4.1,1.5,7.5,0.065,128.1
triple zero greek yogurt dannon oikos,120,0.0,0.0,15.0,7.0,22.5,6.0,0.038,0.0,0.0,0.0,0.0
greek yogurt,100,0.7,0.2,0.018,0.01,6.1,5.5,17.3,0.0,8.5,0.081,187.0
chocolate rasberry protein mini proteinfx,102,2.9,1.8,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gushers fruit gushers,360,6.0,80.0,40.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
egg fried,90,6.8,2.0,2.8,1.5,0.4,0.2,6.3,0.0,184.5,0.043,28.5
glucerna abbott,1010,35.6,2.8,0.0,0.0,120.9,49.8,0.0,12.8,0.0,0.0,0.0
sports drink,26,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.073,0.0
peanut butter cookie protein syntha 6,200,6.0,15.0,2.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hanfprotein pulver rohkostqualitat veganz,107,3.1,0.3,2.3,1.6,14.2,0.057,0.0,0.0,0.0,0.0,0.0
smoothie high protein creamy chocolate slimfast,110,3.5,0.5,0.0,0.0,2.1,1.0,12.0,0.0,5.0,0.2,0.0
egg large,138,9.3,0.5,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boysenberries frozen,66,0.3,0.049,0.059,0.2,16.1,9.1,1.5,7.0,0.0,0.064,35.6
malt beverage,88,0.3,0.005,0.032,0.1,19.1,19.1,0.5,0.0,0.0,0.02,16.6
chocolate powder for milk,88,0.5,0.5,0.0,0.0,19.9,18.0,1.0,1.0,0.0,0.012,100.1
vegetable fruit juice,9,0.017,0.0,0.0,0.0,2.2,0.6,0.071,0.0,0.0,0.043,0.9
cocoa powder unsweetened,12,0.7,0.4,0.2,0.048,3.1,0.087,1.1,1.8,0.0,0.062,6.9
coconut milk,35,3.6,3.2,0.2,0.01,0.8,0.5,0.3,0.3,0.0,0.001,2.4
cocoa powder,28,0.3,0.2,0.061,0.055,5.9,4.6,0.5,0.3,0.0,0.034,9.3
rice drink,113,2.3,0.0,1.5,0.8,22.0,12.7,0.7,0.7,0.0,0.058,0.078
coconut water,46,0.5,0.4,0.091,0.03,8.9,6.3,1.7,2.6,0.0,0.3,57.6
caramel med iced coffee dunkin donuts,268,9.0,41.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instant coffee with water decaffeinated,4,0.0,0.024,0.0,0.068,0.8,0.0,0.2,0.0,0.0,0.093,7.2
instant coffee powder,353,0.5,0.2,0.09,0.2,75.4,0.0,12.2,0.0,0.0,0.051,141.0
instant coffee powder decaffeinated,6,0.069,0.015,0.031,0.075,1.4,0.0,0.2,0.0,0.0,0.09,2.5
instant cappuccino powder,53,0.7,0.4,0.2,0.098,11.2,9.0,0.4,0.2,0.3,0.074,17.3
coffee decaffeinated,0,0.0,0.087,0.0,0.099,0.0,0.0,0.2,0.0,0.0,0.058,4.7
espresso decaffeinated,3,0.011,0.037,0.0,0.057,0.5,0.0,0.065,0.0,0.0,0.011,0.6
instant coffee with water,4,0.0,0.051,0.0,0.025,0.6,0.0,0.2,0.0,0.0,0.015,7.2
coffee,2,0.069,0.011,0.016,0.011,0.0,0.0,0.3,0.0,0.0,0.075,4.7
espresso,3,0.086,0.068,0.0,0.054,0.5,0.0,0.021,0.0,0.0,0.083,0.6
whey protein powder vanilla eas,108,1.7,1.4,1.3,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy drink sugar free red bull,13,0.2,0.0,0.0,0.0,1.8,0.0,0.6,0.0,0.0,0.008,32.5
powerade coca cola,9,0.009,0.076,0.078,0.054,2.3,1.8,0.0,0.0,0.0,0.005,0.3
amp energy pepsi,110,0.2,0.0,0.0,0.0,29.0,29.0,0.6,0.0,0.0,0.093,31.2
gatorade g2 pepsi,2,0.052,0.0,0.0,0.0,0.6,0.4,0.069,0.0,0.0,0.011,0.0
amp energy sugar free pepsi,5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.093,0.0
energy drink red bull,111,0.0,0.0,0.0,0.0,26.4,26.4,1.2,0.0,0.0,0.1,0.0
powerade zero ion4 coca cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.6
full throttle coca cola,110,0.2,0.0,0.0,0.0,29.0,29.0,0.6,0.0,0.0,0.071,31.2
passion fruit juice purple,148,0.4,0.064,0.037,0.3,35.7,35.2,1.7,0.5,0.0,0.084,9.9
pomegranate juice,134,0.7,0.2,0.1,0.1,32.7,31.5,0.4,0.2,0.0,0.089,27.4
cranberry apricot juice,157,0.0,0.0,0.0,0.0,39.7,0.0,0.5,0.2,0.0,0.007,22.1
pineapple juice,133,0.3,0.071,0.027,0.1,32.2,25.0,0.9,0.5,0.0,0.075,0.062
passion fruit juice yellow,126,0.1,0.008,0.02,0.094,33.6,33.1,1.0,0.5,0.0,0.003,9.9
orange apricot juice,128,0.3,0.001,0.078,0.063,31.8,30.2,0.8,0.3,0.0,0.096,12.5
tangerine juice,106,0.5,0.082,0.015,0.054,24.9,24.5,1.2,0.5,0.0,0.022,0.0
orange juice,90,0.4,0.079,0.046,0.037,20.8,16.8,1.4,0.4,0.0,0.067,0.053
grapefruit juice,96,0.2,0.011,0.09,0.008,22.7,0.0,1.2,0.0,0.0,0.061,0.0
pineapple grapefruit juice,118,0.3,0.077,0.0,0.022,29.0,28.8,0.5,0.3,0.0,0.054,17.5
tamarind nectar,143,0.3,0.0,0.0,0.0,37.0,31.9,0.2,1.3,0.0,0.046,25.1
apple juice,114,0.3,0.064,0.078,0.09,28.0,23.9,0.2,0.5,0.0,0.038,0.0
limeade,128,0.0,0.0,0.0,0.0,34.1,32.8,0.0,0.0,0.0,0.071,4.9
guava nectar,158,0.2,0.05,0.071,0.054,40.8,32.5,0.2,2.5,0.0,0.063,0.087
orange grapefruit juice,106,0.2,0.009,0.001,0.098,25.4,25.1,1.5,0.2,0.0,0.082,19.8
orange juice sainsburys,14,0.088,2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cranberry apple juice,154,0.3,0.066,0.014,0.1,38.8,35.5,0.0,0.0,0.0,0.061,7.4
pineapple orange juice,125,0.0,0.0,0.0,0.0,29.5,29.0,3.3,0.3,0.0,0.069,12.5
pear nectar,150,0.062,0.032,0.086,0.038,39.4,0.0,0.3,1.5,0.0,0.056,0.0
blackberry juice,95,1.5,0.095,0.1,0.9,19.5,19.3,0.8,0.3,0.0,0.072,30.0
lemon juice,54,0.6,0.06,0.073,0.038,16.6,6.1,0.9,0.7,0.0,0.046,0.0
cranberry grape juice,137,0.2,0.053,0.092,0.08,34.3,0.0,0.5,0.2,0.0,0.079,19.6
citrus fruit juice,114,0.057,0.088,0.048,0.085,28.3,20.2,0.8,0.2,0.0,0.051,22.3
prune juice,182,0.006,0.033,0.082,0.011,44.7,42.1,1.6,2.6,0.0,0.1,30.7
guanabana nectar,148,0.4,0.096,0.1,0.006,37.5,32.8,0.3,0.3,0.0,0.061,17.6
fruit juice,108,0.1,0.059,0.048,0.036,26.3,24.2,0.3,0.2,0.0,0.1,0.0
horchata,15,0.2,0.0,0.0,0.0,3.3,2.6,0.1,0.0,0.0,0.013,5.1
fruit punch,98,0.4,0.048,0.011,0.039,24.4,0.0,0.2,0.0,0.0,0.08,16.4
apricot nectar,139,0.2,0.07,0.085,0.039,35.7,34.2,0.9,1.5,0.0,0.025,17.4
orangensaft ja,86,0.0,0.0,17.8,17.8,1.4,0.024,0.0,0.0,0.0,0.0,0.0
fruchtcocktail granini,102,0.4,0.2,23.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
peach nectar,125,1.3,0.6,0.2,0.5,29.7,27.8,0.5,0.2,0.0,0.077,0.0
orange pineapple juice,15,0.08,0.056,0.026,0.024,3.6,3.1,0.1,0.032,0.0,0.044,2.4
cranberry juice,92,0.3,0.061,0.098,0.1,24.4,24.2,0.8,0.2,0.0,0.093,0.099
white grapefruit juice,96,0.2,0.083,0.091,0.007,22.7,22.5,1.2,0.2,0.0,0.018,22.2
mango nectar,128,0.2,0.04,0.092,0.066,32.9,31.2,0.3,0.8,0.0,0.061,0.047
acerola cherry juice,56,0.7,0.2,0.2,0.2,11.6,10.9,1.0,0.7,0.0,0.082,24.2
apple juice concentrate,350,0.8,0.1,0.053,0.2,86.5,81.9,1.1,0.8,0.0,0.049,42.2
papaya nectar,143,0.4,0.1,0.1,0.07,36.3,34.8,0.4,1.5,0.0,0.082,0.076
apple juice martinellis,122,0.0,0.0,29.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lime juice,61,0.2,0.052,0.087,0.071,20.4,4.1,1.0,1.0,0.0,0.014,33.9
grape juice,152,0.3,0.06,0.03,0.059,37.4,35.9,0.9,0.5,0.0,0.003,27.8
water dannon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9
tap water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,7.1
table water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,70.0
fruit flavored water,52,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,40.3
water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,23.7
cola light coca cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0
lemon lime soda,151,0.0,0.0,0.0,0.0,38.4,37.6,0.3,0.0,0.0,0.024,7.4
tonic water,114,0.0,0.0,0.0,0.0,29.6,29.6,0.0,0.0,0.0,0.049,3.4
lemonade low calorie,7,0.0,0.0,0.0,0.0,1.6,0.0,0.092,0.0,0.0,0.013,66.9
ginger ale,68,0.0,0.0,0.0,0.0,17.5,17.4,0.0,0.0,0.0,0.043,0.0
ice tea lemon flavor nestle,88,0.0,0.0,0.0,0.0,22.3,22.3,0.0,0.0,0.0,0.063,7.4
sprite coca cola,80,0.063,0.0,0.0,0.0,20.3,18.0,0.1,0.0,0.0,0.021,0.0
cola coca cola,151,0.0,0.0,0.0,0.0,38.9,38.9,0.0,0.0,0.0,0.045,7.4
cola,74,0.07,0.0,0.0,0.0,19.1,17.9,0.1,0.0,0.0,0.072,0.0
cream soda,252,0.0,0.0,0.0,0.0,65.7,65.7,0.0,0.0,0.0,0.098,24.7
club soda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0
pink lemonade,86,0.3,0.079,0.03,0.034,21.6,20.6,0.1,0.2,0.0,0.01,8.0
grape soda,160,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,0.042,11.2
cola without caffeine coca cola,151,0.0,0.0,0.0,0.0,38.9,38.9,0.0,0.0,0.0,0.04,7.4
white lemonade,80,0.003,0.093,0.024,0.076,20.8,20.0,0.1,0.0,0.0,0.02,0.0
chocolate soda,207,0.0,0.0,0.0,0.0,52.6,52.6,0.0,0.0,0.0,0.031,19.7
sweet tea lipton,130,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0
hibiscus tea,74,1.3,0.5,0.2,0.04,14.8,12.0,0.9,0.6,0.0,0.091,2.0
instant lemon tea,2,0.0,0.0,0.0,0.0,0.3,0.047,0.1,0.0,0.0,0.046,0.0
pesca tea santal,116,0.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instant lemon tea sweetened,91,0.2,0.018,0.046,0.093,22.3,21.6,0.071,0.3,0.0,0.089,5.2
tea with milk and sugar yorkshire,15,0.5,0.3,0.7,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0
tea blueberry muffin tekanne,4,0.2,0.2,0.6,0.4,0.4,0.007,0.0,0.0,0.0,0.0,0.0
chamomile tea,2,0.0,0.028,0.032,0.073,0.4,0.0,0.0,0.0,0.0,0.003,4.0
black tea,2,0.0,0.072,0.032,0.029,0.7,0.0,0.0,0.0,0.0,0.091,0.0
herb tea,2,0.0,0.014,0.043,0.071,0.4,0.0,0.0,0.0,0.0,0.064,4.0
clam tomato juice,80,0.3,0.0,0.0,0.0,18.2,5.5,1.0,0.7,0.0,0.6,13.3
tomato juice,41,0.7,0.043,0.062,0.043,8.6,6.3,2.1,1.0,0.0,0.063,0.056
vegetable juice,53,0.2,0.071,0.016,0.1,11.1,7.9,1.5,1.9,0.0,0.1,0.007
tomato vegetable juice,53,0.2,0.014,0.014,0.1,11.1,9.2,1.5,1.9,0.0,0.2,26.6
carrot juice,80,0.3,0.055,0.027,0.1,18.6,7.8,1.9,1.6,0.0,0.1,48.0
acorn dried,144,8.9,1.2,5.6,1.7,15.2,0.0,2.3,0.0,0.0,0.0,15.3
fenugreek seeds,36,0.7,0.2,0.0,0.0,6.5,0.0,2.6,2.7,0.0,0.09,19.5
peanut topping mcdonalds,181,15.0,2.4,7.3,4.0,4.6,1.2,7.9,0.0,0.0,0.0,13.0
beechnuts dried,173,15.0,1.7,6.6,6.0,10.1,0.0,1.9,0.0,0.0,0.068,0.3
breadnut tree seeds raw,61,0.3,0.089,0.061,0.1,13.1,0.0,1.7,0.0,0.0,0.084,27.7
cumin seeds,8,0.5,0.096,0.3,0.013,0.9,0.063,0.4,0.2,0.0,0.073,19.6
pili nuts dried,863,95.5,37.4,44.7,9.1,4.8,0.0,13.0,0.0,0.0,0.014,174.0
hazelnuts roasted,194,18.7,1.4,14.0,2.5,5.3,1.5,4.5,2.8,0.0,0.0,36.9
lupins cooked,193,4.8,0.6,2.0,1.2,15.4,0.0,25.8,4.6,0.0,0.4,84.7
hazelnuts blanched,178,17.3,1.3,13.6,1.6,4.8,1.0,3.9,3.1,0.0,0.0,42.2
brazilnuts dried,33,3.3,0.8,1.2,1.0,0.6,0.1,0.7,0.4,0.0,0.073,8.0
sunflower seeds dry roasted,47,4.0,0.4,0.8,2.6,1.9,0.2,1.5,0.9,0.0,0.067,5.6
ginkgo nuts canned,172,2.5,0.5,0.9,0.9,34.3,0.0,3.5,14.4,0.0,0.5,6.2
peanuts cooked,572,39.6,5.5,19.7,12.5,38.3,4.4,24.3,15.8,0.0,1.4,99.0
pumpkin squash seeds dried,721,63.3,11.2,21.0,27.1,13.8,1.8,39.0,7.7,0.0,0.013,59.3
cashew nuts raw,156,12.4,2.2,6.7,2.2,8.5,1.7,5.2,0.9,0.0,0.02,10.5
sunflower seeds dried,269,23.7,2.0,8.5,10.6,9.2,1.2,9.6,4.0,0.0,0.014,35.9
lotus seeds dried,106,0.6,0.1,0.1,0.4,20.6,0.0,4.9,0.0,0.0,0.024,52.2
butternuts dried,734,68.4,1.6,12.5,51.3,14.5,0.0,29.9,5.6,0.0,0.062,63.6
sesame seeds dried,52,4.5,0.6,1.7,2.0,2.1,0.031,1.6,1.1,0.0,0.049,87.8
breadfruit seeds,57,1.7,0.5,0.2,0.9,8.8,0.0,2.2,1.6,0.0,0.04,10.8
pinyon pine nuts dried,1,0.073,0.022,0.044,0.074,0.01,0.0,0.083,0.005,0.0,0.07,0.022
pine nuts dried,909,92.3,6.6,25.3,46.0,17.7,4.8,18.5,5.0,0.0,0.086,21.6
flaxseeds,55,4.3,0.4,0.8,3.0,3.0,0.2,1.9,2.8,0.0,0.035,26.3
safflower seed kernels dried,146,10.9,1.0,1.4,8.0,9.7,0.0,4.6,0.0,0.0,0.042,22.1
pistachio nuts raw,691,55.8,6.8,29.3,16.9,33.8,9.4,24.9,12.7,0.0,0.037,129.2
peanuts raw,828,71.9,10.0,35.7,22.7,23.5,5.8,37.7,12.4,0.0,0.038,134.3
poppy seeds,46,3.7,0.4,0.5,2.5,2.5,0.3,1.6,1.7,0.0,0.079,126.5
valencia peanuts raw,832,69.5,10.7,31.3,24.1,30.5,0.0,36.6,12.7,0.0,0.094,90.5
spanish peanuts,832,72.4,11.2,32.6,25.1,23.1,0.0,38.2,13.9,0.0,0.036,154.8
dill seeds,20,1.0,0.018,0.6,0.041,3.6,0.0,1.1,1.4,0.0,0.037,100.1
caraway seeds,22,1.0,0.03,0.5,0.2,3.3,0.038,1.3,2.5,0.0,0.014,46.2
acorn raw,110,6.8,0.9,4.3,1.3,11.5,0.0,1.7,0.0,0.0,0.0,11.6
almonds roasted,182,16.6,1.3,10.4,4.1,5.3,1.4,6.4,3.2,0.0,0.029,87.3
lotus seeds raw,25,0.1,0.097,0.011,0.002,4.9,0.0,1.2,0.0,0.0,0.02,12.5
chestnuts cooked,37,0.4,0.016,0.1,0.2,7.9,0.0,0.6,0.0,0.0,0.046,13.0
alfalfa seeds,1,0.075,0.029,0.067,0.057,0.002,0.058,0.1,0.015,0.0,0.048,1.0
virginia peanuts roasted,173,14.6,1.9,7.6,4.4,6.0,0.0,7.8,2.7,0.0,0.018,25.8
hazelnuts raw,471,45.6,3.3,34.2,5.9,12.5,3.3,11.2,7.3,0.0,0.0,85.5
anise seeds,7,0.3,0.06,0.2,0.066,1.1,0.0,0.4,0.3,0.0,0.1,13.6
macadamia nuts roasted,215,22.8,3.6,17.8,0.4,4.0,1.2,2.3,2.4,0.0,0.064,21.0
studentenfutter alnatura,139,7.8,0.9,4.8,2.0,13.2,11.7,3.1,0.031,1.7,0.0,0.0
pumpkin squash seeds roasted,46,3.9,0.7,1.3,1.6,1.2,0.1,2.4,0.5,0.0,0.045,4.2
water chestnut raw,120,0.1,0.039,0.055,0.089,29.7,6.0,1.7,3.7,0.0,0.097,13.6
chestnuts roasted,37,0.3,0.009,0.1,0.1,7.9,1.6,0.5,0.8,0.0,0.043,4.4
ginkgo nuts raw,52,0.5,0.029,0.2,0.2,10.6,0.0,1.2,0.0,0.0,0.067,0.6
almonds raw,9,0.7,0.04,0.5,0.2,0.3,0.026,0.3,0.2,0.0,0.043,4.0
peanuts roasted,180,15.8,2.6,7.8,4.6,4.6,1.3,8.4,2.8,0.0,0.069,18.3
sunflower seeds toasted,829,76.1,8.0,14.5,50.3,27.6,0.0,23.1,15.4,0.0,0.8,76.4
sisymbrium seeds,235,3.4,0.7,1.1,1.5,43.1,0.0,9.0,0.0,0.0,0.047,1208.4
breadnut tree seeds dried,587,2.7,0.7,0.3,1.4,127.0,0.0,13.8,23.8,0.0,0.091,150.4
pecans raw,753,78.4,6.7,44.5,23.6,15.1,4.3,10.0,10.5,0.0,0.0,76.3
chia seeds dried,138,8.7,0.9,0.7,6.7,11.9,0.0,4.7,9.7,0.0,0.047,178.6
japanese chestnuts roasted,57,0.2,0.08,0.1,0.094,12.8,0.0,0.8,0.0,0.0,0.079,9.9
sesame seeds toasted,45,3.8,0.5,1.5,1.7,2.1,0.0,1.4,1.1,0.0,0.07,79.1
cashew nuts roasted,174,14.3,2.5,7.8,2.6,9.0,1.5,5.1,1.0,0.0,0.091,12.9
lupins raw,668,17.5,2.1,7.1,4.4,72.7,0.0,65.1,34.0,0.0,0.009,316.8
mustard seeds ground,10,0.7,0.012,0.5,0.2,0.6,0.1,0.5,0.2,0.0,0.017,5.3
mixed nuts roasted,178,15.4,2.0,9.4,3.2,7.6,1.4,5.2,2.7,0.0,0.1,21.0
salat mix alestro,61,5.2,0.9,0.1,0.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0
chestnuts raw,309,3.3,0.6,1.1,1.3,66.0,0.0,3.5,11.7,0.0,0.02,39.2
